group,STATEFP20,COUNTYFP20,TRACTCE20,GEOID,Census-Tract-Name,NAMELSAD20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,Lat,Long,Shape_Leng,TRACT_LBL2,Shape_Length,Shape_Area
471,53,33,32321,53033032321,323.21,Census Tract,G5020,S,12781170,0,47.7180124,-122.1262416,57289.1792625,Tract 032321,57289.1792624227,137565432.061888
472,53,33,32322,53033032322,323.22,Census Tract,G5020,S,4628580,0,47.7262356,-122.0977000,31966.6566388,Tract 032322,31966.6566387648,49817882.099992
473,53,33,32323,53033032323,323.23,Census Tract,G5020,S,3291835,0,47.6986018,-122.1117667,26674.568503,Tract 032323,26674.5685030362,35430609.6492694
474,53,33,32324,53033032324,323.24,Census Tract,G5020,S,2048589,0,47.6855267,-122.1199841,25346.8535136,Tract 032324,25346.853513533,22049418.8210063
475,53,33,32325,53033032325,323.25,Census Tract,G5020,S,2212937,0,47.6864819,-122.1049565,26700.9516194,Tract 032325,26700.9516193599,23818338.6248026
476,53,33,32326,53033032326,323.26,Census Tract,G5020,S,10288287,0,47.7242618,-122.0785815,61582.0108201,Tract 032326,61582.0108200581,110734207.105563
477,53,33,32327,53033032327,323.27,Census Tract,G5020,S,16167035,114301,47.7094527,-122.0423942,68491.5158512,Tract 032327,68491.5158512372,175238435.751702
478,53,33,32328,53033032328,323.28,Census Tract,G5020,S,8504236,0,47.6641638,-122.0461286,52365.248275,Tract 032328,52365.2482749427,91533480.9522641
479,53,33,32330,53033032330,323.30,Census Tract,G5020,S,4649727,0,47.6899362,-122.1381057,38284.3526445,Tract 032330,38284.3526444404,50045942.0990587
480,53,33,32331,53033032331,323.31,Census Tract,G5020,S,1440138,0,47.6723963,-122.1210863,20812.8331022,Tract 032331,20812.8331022653,15500591.9941044
481,53,33,32332,53033032332,323.32,Census Tract,G5020,S,4774596,0,47.6794897,-122.0383201,33894.3578804,Tract 032332,33894.3578803784,51390059.6344489
482,53,33,32333,53033032333,323.33,Census Tract,G5020,S,4878002,0,47.6877305,-122.0213688,31818.0472402,Tract 032333,31818.0472402208,52502940.0027452
483,53,33,32401,53033032401,324.01,Census Tract,G5020,S,56328122,1081012,47.7463169,-121.9478740,145555.551346,Tract 032401,145555.551346197,617896843.702131
484,53,33,32402,53033032402,324.02,Census Tract,G5020,S,25143316,628419,47.7055790,-121.9488126,94106.6353736,Tract 032402,94106.6353735957,277385451.774451
485,53,33,32500,53033032500,325,Census Tract,G5020,S,213738466,3896831,47.7019073,-121.8274607,318923.175793,Tract 032500,318923.175793075,2342441971.04098
486,53,33,32601,53033032601,326.01,Census Tract,G5020,S,61227726,1116537,47.5815990,-121.8693353,158257.022231,Tract 032601,158257.022230731,671043279.656976
487,53,33,32603,53033032603,326.03,Census Tract,G5020,S,12385870,427271,47.5505897,-121.8677826,62214.5989858,Tract 032603,62214.5989858345,137916135.600582
488,53,33,32604,53033032604,326.04,Census Tract,G5020,S,12971916,81082,47.5218155,-121.8815284,63192.0872683,Tract 032604,63192.0872683039,140499319.398432
489,53,33,32605,53033032605,326.05,Census Tract,G5020,S,4530738,131898,47.5368811,-121.9007672,35019.9126339,Tract 032605,35019.9126339108,50187209.5202076
490,53,33,32703,53033032703,327.03,Census Tract,G5020,S,9930977,181212,47.5143018,-121.8179238,74493.9589797,Tract 032703,74493.9589796696,108845331.784968
491,53,33,32704,53033032704,327.04,Census Tract,G5020,S,16775239,545880,47.4933201,-121.7720910,106689.286114,Tract 032704,106689.286114074,186443514.930979
492,53,33,32705,53033032705,327.05,Census Tract,G5020,S,52619291,582390,47.4666205,-121.8050261,130434.685535,Tract 032705,130434.685534573,572666497.966424
493,53,33,32706,53033032706,327.06,Census Tract,G5020,S,458845767,11916761,47.4631821,-121.4989644,478392.368394,Tract 032706,478392.368394541,5067381610.66768
494,53,33,32800,53033032800,328,Census Tract,G5020,S,1390641456,27389939,47.6530738,-121.4312774,669280.908299,Tract 032800,669280.908298776,15262735285.1946
495,53,33,990100,53033990100,9901,Census Tract,G5020,S,0,240227879,47.5114466,-122.4154275,648226.730436,Tract 990100,648226.730435489,2585783320.77746
